id,version,version2,CHG,ROC,RDT,RSD,OPR,RON,SFI,MRD,MFR,MPN,SER,RRC,FFC,FFI,FCR,FAC,FBC,FHS,REM,INT,SHL,RFI,SAC,MFR3,AMC,MFN,ASE,REG,AIN,TRF,OTT,OPC,check,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CFG,Meggitt SA,350294007,4/4/17,S3960,241-251-000-121,EB311,U,NT,NA,NA,NA,NA,NA,* For test and / or repair in accordance with applicable CMM or OEM   drawings incl. recertification and shop report * Removal reason: suspect wrong indication on both engines * TSN: 15299 / CSN: 1848 * A/C type: 767-300ERE / A/C reg: D-ABUH / Tail: 26986 * PMA: NO * EASA / FAA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,767,Boeing,300EREM,D-ABUH,26986,N,15299,1848,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZ,Meggitt SA,350283151,1/13/17,S3960,241-298-002-015,AD40753,U,FT,NI,CR,NA,NA,HW,* for test / repair as required - As removed from teardown. Unit removed   from A/C MSN 30495 * EASA / FAA,"Service Rep EVM298 Seal ok, no major damage was notified at reception. Self test ok. No fault in memory. VAFM doesn't power up due to PSM defect. Multiple component are impacted so PSM module must be replaced.",R2,1,,,,,,,,,,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,EVA,Meggitt SA,350288392,2/22/17,S3960,241-322-008-022,AK51982,U,NT,NA,NA,NA,NA,NA,* For warranty repair - Eng vib monitor L. * A/C: B-16720    A/C reg: 6720    TSN: 14376    PMA: No Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,81205,737,BOING,737-300ER,B-16720,41820,N,14376,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,VOZ,Meggitt SA,350289678,3/3/17,S3960,241-298-002-015,AF00636,U,FT,NI,CR,NA,NA,HW,* For repair - * No engine vib indications on either after engine start. * ***Important*** shop report must include status for SB 298-77-008 and   298-77-011 * A/C: 737 / A/C reg: VH-VOK * TSN: 15124 / CSN: 10354 * PFR: NO * PMA: NO * Quote: YES * EASA / FAA,"Service Rep EVM298 Seal(s) ok and Acceptable  use  damage  has been noticed. Display blank impossible to read memory at reception due to deffective EEprom. EEprom must be replaced. Algo 3 via SB 298-77-008 Rev.1 Jan 08/15 checked, already applied at reception. Update of DSP configuration table via SB 298-77-011 Rev.1 Jan 08/15 already applied at reception.",R2,1,,81205,737,BOEING,737-800,VH-VKO,33758,N,15124,10354,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ANA,Meggitt SA,350290453,3/9/17,S3960,241-148-000-301,0183,U,NT,NA,NA,NA,NA,NA,* For repair - LPT vib high. * A/C: JA8286    A/C reg: B6FR    TSN: 67370.39    CSN: 40541 * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA,Seal(s) ok and no major physical damage has been noticed. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,767,BOING,767-300BCF,JA8286,24400,N,67370,40541,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,UTA,Meggitt SA,350290897,3/13/17,S3960,6672M202,CR57,U,NT,NA,NA,NA,NA,NA,* For warranty repair - AVM signal conditioner does nor keep information   of flight his tora. * A/C: VQ-BPQ    TSN: N/A    CSN: N/A    PMA: Yes    Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,No physical damage has been noticed. Self test is pass. Unit works within specifications. No fault found.,R2,1,TEST,81205,737,BOING,737-500,VQ-BPQ,28907,,,,3,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ABD,Meggitt SA,350291928,3/20/17,S3960,241-280-053-013,0759,U,FT,NI,CR,NA,NA,HW,* For repair - Vib. Eng #1 #2 indications went blank after t/o. * A/C: TF-AAK    TSN: UNK    CSN: UNK    PMA: No    Quote: Yes * PO amount: No    PBH: No PFR: No * EASA + FAA + TCCA + CAAC,"Seal(s) ok and no physical damage has been noticed. External failure (N2 TACHO LOSS E1) detected in memory at reception. Intermittent failure detected during ATP, unit will be repaired iaw SB280-77-005 Rev.0 Date of issue Jul 02/12.",R2,1,REPR,81205,747,BOING,747-400,TF-AAK,32868,,,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DTA,Meggitt SA,350292560,3/23/17,S3960,241-322-008-022,AF55356,U,FT,NI,CR,CM,NA,HW,* For repair - Signal conditioner unit has no out on system arinc 629 is   blank. * A/C: D2-TEH    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No * EASA + FAA + TCCA + CAAC,"Seal ok, Acceptable  use  damage  has been noticed. No power up PSM must be replaced. ARINC module is defective, must be repaired.",R2,1,,81205,777,BOEING,777-300ER,D2-TEH,40806,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ETH,Meggitt SA,350293156,3/24/17,S3960,241-298-002-015,AE90608,U,NT,NA,NA,NA,NA,NA,* For test and repair - Vib indication is blanck out on cdu. * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,737,BOEING,737-800,ET-APF,40961,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,EXS,Meggitt SA,350294211,4/5/17,95411,6672M452,AK59,U,NT,NA,NA,NA,NA,NA,"* For test/repair - No 1 engine BB vibe on eicas display erratic between   0.1 - 2.9 units with engine static. * TSN 4197, CSN 1402, G-LSAD * * EASA / FAA",No physical damage has been noticed. Self test is pass. Unit works within specifications. No fault found.,R2,1,TEST,81205,757,BOEING,200EM,G-LSAD,24397,N,4197,1402,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZ,Meggitt SA,350294870,4/10/17,S3960,241-324-000-012,AK45356,U,NT,NA,NA,NA,NA,NA,* for warranty test / repair * EASA / FAA,No physical damage has been noticed. Unit works within specifications. No fault found.,R2,1,TEST,ZZZZZ,UNK,,,UNK,UNK,,,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AEA,Meggitt SA,350294924,4/10/17,S3960,241-280-053-013,0845,U,FT,NI,CR,NA,NA,HW,* For test and / or repair in accordance with applicable CMM or OEM   drawings incl. recertification and shop report * Removal reason: Vibration indication engine is blank * TSN: 51700 / CSN: 22686 * A/C: EC-IDT / A/C type: 737-86Q / Tail: 30281 * EASA / FAA,"Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, dispay blank at reception. Processing module must be repaired.",R2,1,,81205,737,Boeing,800,EC-IDT,30281,N,51700,22686,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ETH,Meggitt SA,350269229,9/27/16,95411,418-01124,9914025,S,NT,NA,NA,NA,NA,NA,* for bench test per the CMM * A/C type: N/A - A/C reg: ET-AMF - Engine/ESN: N/A * TSN/CSN: N/A - PMA: NO - Quote: YES - PO amount: No * PBH: No - PFR: NO - PN on capability list: Yes * EASA / FAA,"No malfunctioning noted during incoming inspection. All measurements values within specification limits, no fault found. Transducer to be cleaned. New test report to be issued.",R2,1,,81205,767,BOEING,300EREM,ET-AMF,30563,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350297509,4/25/17,S3960,241-322-008-022,AF55353,U,NT,NA,NA,NA,NA,NA,"* For repair - TSI * C/W Policy Sheet G-77-31-101 Dated 26Aug2016 * TSN: 22210:47    CSN: 3636    PMA: No    Quote: Yes * PO amount: 4.694,00 $    PBH: No    PFR: No * EASA + FAA","Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,ZZZZZ,UNK,,,UNK,UNK,N,22210,3636,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350296475,4/19/17,S3960,241-323-007-021,AF57886,U,FT,NI,CR,NA,NA,HW,* For bench check * * EASA / FAA,"Service Rep EVM323 Seal missing, screw of housing missing. Unit doesn't power up due to AC/DC defect. AC/DC must be replaced. Oscillators on VPM module and Arinc module must be replaced preventively. Soft Rolls loaded via SB 323-77-005 rev 2.",R2,1,,81205,UNK,BOEING,UNK,UNK,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CCA,Meggitt SA,350296940,4/21/17,S3960,241-322-008-022,AH70874,U,NT,NA,NA,NA,NA,NA,"* For warranty repair - Unableto record the numerial for engine trim * TSN 18597.90, CSN 2448 * * EASA/FAA / CAAC","Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. No fault found.",R2,1,,81205,777,BOEING,300ER,B-2038,38678,N,18597,2448,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350296942,4/21/17,S3960,241-323-007-021,AE76495,U,FT,NI,CR,NA,NA,HW,"* For bench check / recertify, repair as necessary IAW CMM * * EASA / FAA",Service Rep EVM323 Seal and screw on housing missing. Unit doesn't work correctly due to oscillator on VPM module defect. Oscillator on VPM must be replaced. Oscillators on Arinc module must be replaced preventively. Soft Rolls loaded via SB 323-77-005 rev 2.,R2,1,,ZZZZZ,UNK,,,UNK,UNK,,,,,
R2009.1,1,2,N,95411,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350297679,4/26/17,95411,6672M452,AG12,U,NT,NA,NA,NA,NA,NA,* For repair - LQ93.037 selftest not possible. Eng #2 vicraction   indication blank. * A/C: G-BMRE    A/C reg: B757    PMA: No    Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,Subcontracted to MOC,R2,1,IRTR,81205,757,BOEING,757-200SF,G-BMRE,24074,,,,1,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350297708,4/27/17,S3960,241-298-002-015,AH98860,U,NT,NA,NA,NA,NA,NA,* For warranty repair - Failed on fit. * A/C: EI-FHS    A/C reg: B737    TSN: 14234    CSN: 8285 PMA: No * Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA + TCCA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Several automatique test done without any failure. Unit works within specifications. No fault found.,R2,1,,81205,737,BOEING,800,EI-FHS,39021,N,14234,8285,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,AFR,Meggitt SA,350298047,4/28/17,S3960,241-322-008-022,AJ82171,U,FT,NI,CR,NA,NA,SW,* For modification * V 322-77-002 * CMM 77-30-17 REV 02 * * EASA / FAA,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Unit works within specification. Due to fault 10 and 18, VPM module must be replaced. Unit reprogrammed. Oscillators on Arinc module must be replaced preventively. SB 322-77-002 rev 1 already applied. Unit under warranty.",R2,1,,81205,UNK,BOEING,,UNK,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SLM,Meggitt SA,350298668,5/5/17,95411,6672M202,CF29,U,NT,NA,NA,NA,NA,NA,* for test / repair - Defect: Upon request of GE due to noticing RH ENG.   Vibration Fluctuation * A/C reg: PZ-TCO - TSN/CSN: UNK * EASA / FAA / TCCA,No physical damage has been noticed. Self test is pass. Unit works within specifications. No fault found.,R2,1,TEST,81205,737,BOEING,300,PZ-TCO,28669,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350298680,5/5/17,S3960,241-298-002-015,AK09955,U,NT,NA,NA,NA,NA,NA,* For test and if necessary maintenance according the latest revision of   the CMM and / or applicable maintenance data * Removal cause: both engine vibration gauges blank * Rem. from B737/NG / Reg: EI-FHS * TSN: 10191 / CSN: 6490 * EASA / FAA / TCCA * In case of warranty denial adv repair. Warranty on last repair: 31421099   date 02-03-2017,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Several automatique test done without any failure. Unit works within specifications. No fault found.,R2,1,,81205,737,Boeing,800,EI-FHS,39021,N,10191,6490,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,DAL,Meggitt SA,350298682,5/5/17,S3960,241-322-007-021,AD77314,M,NA,NA,NA,NA,NA,NA,"* Inspect and repair (as specified) in accordance with OEM CMM 77-30-17,   Rev 002 / Delta PUB 40442 and with OEM IPL 77-30-17, REV 004 / Delta PUB   38717. No deviations without prior DAL approval * ENG VIB MONITOR LEFT STATUS MESSAGE. See History on page 2 of the PO * OFF A/C: 07108 * TSO: 25496 / CSO: 2358 * EASA / FAA","Service Rep EVM322 (Ken) Seal ok, No Physical damage was noticed at reception. The unit PNR:241-322-007-021 will be upgraded to the new version PNR:241-322-008-022 Mod Rec.1. Oscillators on VPM module and Arinc module must be replaced preventively.",R2,1,,81205,UNK,Boeing,,UNK,UNK,O,25496,2358,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350298896,5/8/17,S3960,241-258-032-110,0840,U,NT,NA,NA,NA,NA,NA,* For repair - No fault given. * PMA: No    Quote: Yes    PO amount: No    PBH: No     PFR: No * EASA + FAA,"Service Rep EVM-GENERIC Seal missing, no major damage was notified at reception. Self test ok. No fault in memory. Unit works within specification. No fault found.",R2,1,,81205,UNK,BOEING,,,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350298932,5/8/17,S3960,241-258-032-110,0846,U,NT,NA,NA,NA,NA,NA,* For test and repair - * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * EASA + FAA + TCCA + CAAC,"Service Rep EVM-GENERIC Seal ok, no major damage was notified at reception. Self test pass. Internal module checked. Unit works within specification. No fault found.",R2,1,,81205,UNK,BOEING,,,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350299628,5/11/17,S3960,6672M213,DA60,U,NT,NA,NA,NA,NA,NA,* For test  - * A/C: EK73736    A/C Type: 737    PMA: Yes    Quote: Yes PO amount: No * PBH: No    PFR: No * EASA + FAA,"Service Rep MICROTRAC - SUBCONTRACTED TO MOC 5/19/17 HV. POWER UP SELF TESTS PASSED INSPECTED, EVALUATED AND CLEANED IAW CMM 77-30-66 REV 3 DATE: 12 FEB 2003. NO FAULT FOUND UNIT PASSED ALL FUNCTIONAL AND EVALUATION TESTS  YOUR OTPIONS: A) UNIT TESTED AND RECERTIFIED",R2,1,IRTR,81205,737,BOEING,500,EK73736,26336,,,,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350300731,5/18/17,S3960,241-298-002-015,AF82054,U,NT,NA,NA,NA,NA,NA,* For repair - Failed on fit. * TSN: 16552    CSN: 8830    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No * EASA + FAA,"Service Rep EVM298 Seal ok, no major damage was notified at reception. Self test pass. No fault in memory. Unit tested under thermal stress without any failure. Unit works within specification. No fault found.",R2,1,,81205,UNK,BOEING,,,UNK,N,16552,8830,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,QTR,Meggitt SA,350303088,6/6/17,S3960,241-322-008-022,AE98744,U,NT,NA,NA,NA,NA,NA,* for repair - Defect: TSR/17/04849 AVM signal conditioner unit has   internal fault. MOCC to monitor if status msg or defect recurring. * A/C reg: A7-BAM - TSN/CSN: 33334:03/4765 * EASA / FAA,"Service Rep EVM322 Seal ok, no major damage was notified at reception. Fault in memory checked. Unit works within specification. No fault found.",R2,1,,81205,777,BOEING,300ER,A7-BAM,38245,N,33334,4765,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,TUI,Meggitt SA,350303132,6/6/17,95411,6672M805,DG28,U,NT,NA,NA,NA,NA,NA,* for repair - Defect: RFR: ENG #1 vis at low thrust settings during   approach #1 engine #2 vibration peaked. * A/C reg: SE-RFR - A/C hrs: 85067 - CYC: 12884 * EASA / FAA / TCCA / CAAC,No physical damage has been noticed. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,767,BOEING,300EREM,SE-RFR,29617,N,85067,12884,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350304584,6/14/17,S3960,241-298-002-011,AC43777,U,NA,NA,NA,NA,NA,NA,* For test and re-certification - Suspected vibration issue. * TSN: 32228    CSN: 12368 * EASA + FAA,"Service Rep EVM298 Seal ok. No major physical damages noticed. Some light scratches noticed on case. Self Test is Pass. Algo 3 in memory at reception. No faults noticed in memory at reception. The update DSP configuration table must be applied via SB 298-77-011 Rev.1 Jan 08/15. SB 298-77-008 Rev.1 Jan 08/15 checked, already applied at reception. SB 298-77-002 Rev.0 Feb 14/07 checked, already applied at reception. Unit works within specifications. No Faults found.",R2,1,,ZZZZZ,UNK,BOEING,,UNK,UNK,N,32228,12368,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,TOM,Meggitt SA,350305191,6/19/17,S3960,241-280-051-012,0457,U,FT,NI,CR,NA,NA,HW,* for repair - Vib display indications blanked during flight * A/C reg: G-OBYG * EASA / FAA / TCCA / CAAC,"Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, display blank intermitent. Processing module must be repaired. IC17 and IC18 will be changed IAW SB 280-77-005",R2,1,,81205,767,BOEING,300EREM,G-OBYG,29137,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,NAX,Meggitt SA,350305194,6/19/17,S3960,241-298-002-015,AE86411,U,FT,NI,CR,CM,NB,HW,* for warranty test / repair - Defect: Vibration indication U/S both ENG   #1 <(>&<)> #2. Warranty on last repair order: 31361284 / Date: 08-2016 * A/C reg: EI-FJN - TSN/CSN: 21440/12970 * EASA / FAA,"Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, unit has erratic output and DGO failure due to defective processing module. Processing module must be repaired under warranty.",R2,1,,81205,737,BOEING,800,EI-FJN,41152,N,21440,12970,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ELY,Meggitt SA,350305227,6/19/17,S3960,241-251-000-121,EB347,U,NT,NA,NA,NA,NA,NA,* For repair * Removal reason: unit inoperative * Please R/T IAW last rev. * A/C: 4X-EAM * TSN: 46162 / CSN: 8199 * EASA / FAA,Seal(s) ok and no physical damage has been noticed. No failure detected in memory at reception. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,767,Boeing,300EREM,4X-EAM,28132,N,46162,8199,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ETH,Meggitt SA,350305244,6/19/17,S3960,241-322-008-022,AJ87994,U,NT,NA,NA,NA,NA,NA,* For repair as per CMM * Reason of removal: Left engine N1 vibration indicator is blank * Fleet: B777-200 / A/C: AT-APX * TSO: 16633 * EASA / FAA,"Service Rep EVM322 Seal ok, no major damaged was notified at reception. Fault in memory checked. Unit works within specification. No fault found.",R2,1,,81205,777,Boeing,300ER,ET-APX,42101,O,16633,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350305250,6/19/17,S3960,241-280-051-012,0202,U,NT,NA,NA,NA,NA,NA,* for inspection / repair as required * A/C reg: EI-RUC - MSN: 30494 * EASA / FAA,Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,737,BOEING,800,EI-RUC,30494,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350307461,7/4/17,S3960,241-298-002-015,AM69023,U,FT,NI,CR,NA,NA,HW,* For warranty repair - Vibration indicators for Eng #1 and #2 are blank. * UR-PSW * * EASA/FAA/TCCA/CAAC,"Service Rep EVM298 Seal ok, no major damage was notified at reception. Unit doesn't power up due to resistance and diode defect on backplane. Resistance and diode damaged backplane. Backplane must be replaced. After replacement self test pass. No fault in memrory. Unit under warranty.",R2,1,,ZZZZZ,UNK,,,,UNK,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350307649,7/6/17,S3960,241-298-002-015,AE89662,U,FT,NI,CR,NA,NA,HW,"* For repair - No engine vibration indication on both engines after engine   1 and 2 stat, before commencing taxi9. AVM bite C/O IAW 77-31 task 801.   AVM switching on/off during test several timer. AVM replaced IAW AMM   77-31-03 Rev 63. * TSN: 20845    CSN: 10658    PMA: No    Quote: Yes * PBH: No    PFR: No * EASA + FAA","Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, display blank. Processing module must be repaired.",R2,1,,ZZZZZ,UNK,,,,UNK,N,20845,10658,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350308061,7/7/17,S3960,144-151-000-101,AG10765,S,NT,NA,NA,NA,NA,NA,* Warranty claim - * PMA: No    Quote: Yes    PO amount: No    PBH: No    PFR: No * TSN: 17.376    CSN: 3.966 * EASA + FAA,"No malfunctioning noted during incoming inspection. All measurements values within specification limits, no fault found. Accelerometer to be cleaned. New test report to be issued.",R2,1,,ZZZZZ,UNK,,,,UNK,N,17376,3966,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350308831,7/12/17,S3960,241-280-056-014,AA87115,U,NT,NA,NA,NA,NA,NA,"* For repair - Carried out test 14B - Fan trim balance (on board procedure   vibrometer AVM) IAW AMM TASK 71-00-00-750-803-F00 R63 on the #2 engine.   Due to history of non tactile high vibration on #2 eng, AVM replaced IAW   AMM 77-31-03 REV 63. * TSN: 42949    CSN: 27493    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No * EASA + FAA","Service Rep EVM280 Seal(s) ok and no major physical damage has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found. SB 280-77-006 will be applied, MR5 will be added.",R2,1,,ZZZZZ,UNK,,,,UNK,N,42949,27493,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ZZZZZ,Meggitt SA,350297733,4/27/17,S3960,241-280-053-013,0566,U,NA,IN,CR,NA,NA,NA,* For warranty service - TSI 77-31/0301 * TSN: 814:5    CSN: 353    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No,"Service Rep EVM280  Seal ok. No major physical damages noticed. No failures in memory at reception. Self test is pass. Vib factor failures noticed during tests. Defective VPM module on intermittent basis, PSM module must be replaced also. Due to the replacement of the both major modules, Meggitt proposed to replace the defective unit by 2nd hand recertified unit. Otherwise the option is to buy a full new unit.  Your options:  a.)You want your unit exchanged by a 2nd hand unit PNR 241-280-053-013 Serial AA10073 DMF 042002 ModRec2 TSN and SSN are uknown (unit delivered from AIR CHINA in 2010).      Price: 14'000.00 USD  b.) You want your unit returned in As-Is conditions      Price: 1'219.00 USD  c.) You want your unit scrapped on site      Price: 500.00 USD",R2,1,,ZZZZZ,UNK,BOEING,,UNK,UNK,N,814,353,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,BBC,Meggitt SA,350296750,4/19/17,S3960,241-298-002-015,AF39637,U,NA,NA,NA,NA,NA,NA,"* For test - FOR #2 engine vibration. * TSN: 15491, CSN: 10246, B737 - S2-AFM * * EASA/TCCA/FAA",Seal(s) ok and Acceptable  use  damage  has been noticed. No failure found in memory. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,737,BOEING,800,S2-AFM,28653,N,15491,10246,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,ASA,Meggitt SA,350297144,4/24/17,S3960,241-298-002-011,AB96961,U,FT,NI,CR,NA,NA,HW,* For repair * GE Diagnostics is receiving suspected false messages vibration messages   from the #1 <(>&<)> #2 Engines * TSN: 17668 - CSN: 5879 * EASA / FAA,"Service Rep EVM298  Seal ok. No major physical damages noticed. bents noticed on front panel. Algo 1 in memory at reception. No memory faults in memory. Self test is pass. Intermittent DGO failures noticed during tests, due to defective backplane module. The backplane module must be replaced by a new one. Algo 1 will be loaded. SB298-77-002 Rev.0 Feb 14/07 checked, already applied at reception. SB298-77-003 Rev.0 Dec 21/06 checked, already applied at reception.",R2,1,,81205,UNK,BOEING,,UNK,UNK,N,17668,5879,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350297731,4/27/17,S3960,241-280-053-013,AA24633,U,FT,NI,CR,NA,NA,HW,* For repair - Both eng vib indication inop. Replace AMV AMM: 77-31-03   description sign 901. * TSN: 46998    CSN: 30659    PMA: No    Quote: Yes * PO amount: No    PBH: No    PFR: No * EASA + FAA,"Seal(s) ok and no major physical damage has been noticed. Customer complain confirmed, display is blank. SB 280-77-002 Oct 25/06 must be perfomed, power line filter changed, mod rec 2 will be added. EEprom IC17 and IC18 must be changed IAW  280-77- 005 rev0 Jul 02/12",R2,1,,81205,UNK,BOEING,,,UNK,N,46998,30659,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,CFG,Meggitt SA,350298083,5/1/17,S3960,144-151-000-101,AM10531,S,NT,NA,NA,NA,NA,NA,* For Test (No details provided by cust.) * TSN: 1573    -    CSN: 174 * A/C Reg. : D-ABUH * EASA / FAA,"No malfunctioning noted during incoming inspection. All measurements values within specification limits, no fault found. Accelerometer to be cleaned. New test report to be issued.  Failure as reported by customer: Cannot confirm any Failure due to missing removal reasons.",R2,1,,81205,767,Boeing,300EREM,D-ABUH,26986,N,1573,174,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,SWT,Meggitt SA,350298567,5/4/17,95411,6670M2230,AR14,U,NT,NA,NA,NA,NA,NA,* for repair - Defect: A1 fault code appears in AVM siganl conditioner   several times. Vibrations in both engines are within limits. ENG1 -> 2 * ENG2 -> 1 * A/C reg: EC-KLR * EASA / FAA / TCCA,No physical damage has been noticed. External Failure A1 not confirmed in our shop. Self test is pass. Unit works within specifications. No fault found.,R2,1,,81205,737,BOEING,300SF,EC-KLR,23766,,,,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,FDX,Meggitt SA,350298569,5/4/17,S3960,241-215-000-031,0197,U,FT,NI,NC,NA,NA,HW,* for repair - Defect: not reported by customer * C/W Policy Sheet M-77-32-01 Dated 03Dec2009 * TSN/CSN: 36074:22/9530 - PO amount: 4930.00$ * EASA / FAA,"Service Rep OLD-EVM  Seal ok. No major physical damages noticed. N2 vib Eng 2 failure noticed in memory at reception. Self test fail. Accelerometer A Engine 2 failures noticed during tests, due to defective channel module 2. The channel module 2 must be repaired.",R2,1,,81205,UNK,BOEING,,UNK,UNK,N,36074,9530,2,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,RYR,Meggitt SA,350298890,5/8/17,S3960,241-298-002-015,AE58565,U,FT,NI,CR,NA,NA,HW,* For warranty repair - In accordance with the latest revision of the   manufactures CMM. * Failed on fit see last reapir R57554717 * TSN: 23310    CSN: 11689    PMA: No    Quote: Yes    PO amount: No * PBH: No    PFR: No * EASA + FAA,"Service Rep EVM298 Seal(s) ok and Light scratches on housing has been noticed at reception.Display Blank.Impossible to read memory at reception. Intermittent failure were detected during investigation test on ATP due to defective General processing module. GPM must be replaced Self Test is pass. Algo 3 via SB 298-77-008 Rev.1 Jan 08/15 checked, already applied at reception. Update of DSP configuration table via SB 298-77-011 Rev.1 Jan 08/15 already applied at reception. Repair cannot be performed under warranty based on previous removal as the part was No Fault Found.",R2,1,,81205,UNK,BOEING,,,UNK,N,23310,11689,,
R2009.1,1,2,N,S3960,1/1/17,1/5/18,BAW,Meggitt SA,350299162,5/9/17,S3960,241-322-008-022,AL49160,U,NT,NA,NA,NA,NA,NA,"* for warranty repair - Defect: failed operation. Indication blanks in   flight, message 73-00031 * A/C reg: G-STBB - TSN: 6225 * EASA / FAA","Service Rep EVM322 (Ken) Seal ok, no major damage was notified at reception. No fault in memory due to EVM. Internal module checked, oscillaors ok. Unit works within specification. No fault found",R2,1,,81205,777,BOEING,300ER,G-STBB,38286,,,,,
