aircraft_fully_qualified_registration_no,aircraft_identification_no,manufacturer_name,manufacturer_code,aircraft_model_identifier,aircraft_series_identifier
N631SC,FL-853,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N631SK,10329,Bombardier (Canadair),L00I6,CRJ700,CRJ702
N631TJ,525C-0031,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ4 (Cessna 525C),525C CJ4
N631TS,550-0631,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
N631VA,3135,Airbus,FA849,A320,200
N631VR,631,Gulfstream,2AAX5,Gulfstream V,
N631WA,4698031,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N632AE,145143,Embraer,001JK,ERJ-145,
N632AV,5632,Airbus,FA849,A320,200
N632BK,55000079,Embraer,001JK,Legacy 500,
N632CA,4698017,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N632CB,31T-8166066,Piper,ZZZZZ,PA-31T,2 Cheyenne IIXL
N632CZ,17000244,Embraer,001JK,E175,
N632DS,FA-141,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,300LW
N632FW,20195,Bombardier (Canadair),L00I6,Challenger,300
N632JB,2647,Airbus,FA849,A320,200
N632MT,LJ-1504,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N632NK,6331,Airbus,FA849,A320,200
N632PB,355,Dassault,F6117,Falcon 20/200,Falcon 20-5
N632PM,4636632,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N632QS,680A-0181,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N632QX,17000718,Embraer,001JK,E175,
N632RP,20784,Bombardier (Canadair),L00I6,Challenger,350
N632RW,17000050,Embraer,001JK,E170,
N632SK,10330,Bombardier (Canadair),L00I6,CRJ700,CRJ702
N632VA,3155,Airbus,FA849,A320,200
N632XL,560-5632,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N63354,30,Viking Air,ZZZZZ,DHC-3,Turbo Otter
N6335F,LA-190,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air F90
N633AB,5841,Bombardier (Canadair),L00I6,Challenger,605
N633AE,145148,Embraer,001JK,ERJ-145,
N633AH,208B-5454,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N633AR,633,Viking Air,ZZZZZ,DHC-6,300
N633AT,500-0087,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),500 Citation
N633CZ,17000245,Embraer,001JK,E175,
N633D,31-7852098,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N633HC,BB-1852,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N633HG,4698005,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N633JB,2671,Airbus,FA849,A320,200
N633JK,414A-0008,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N633KA,399,Dassault,F6117,Falcon 20/200,Falcon 20-5
N633LG,525-0992,Textron Aviation (Cessna),ZZZZZ,Citation M2,
N633MC,421C-0657,Textron Aviation (Cessna),ZZZZZ,Cessna,421 (Piston)
N633NK,6345,Airbus,FA849,A320,200
N633PC,550-1085,Textron Aviation (Cessna),ZZZZZ,Citation Bravo (Cessna 550),550 Citation Bravo
N633PJ,241,Bombardier (Learjet),L00I6,Learjet 31,A
N633QS,560-5526,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N633QX,17000719,Embraer,001JK,E175,
N633RW,17000054,Embraer,001JK,E170,
N633SF,2152,Gulfstream,2AAX5,Gulfstream G280,
N633SK,10331,Bombardier (Canadair),L00I6,CRJ700,CRJ702
N633SW,27936,Boeing,81205,737 (CFMI),300
N633VA,3230,Airbus,FA849,A320,200
N633WC,8104036,Piper,ZZZZZ,PA-31T,1 Cheyenne I
N633WM,5951,Bombardier (Canadair),L00I6,Challenger,605
N634AE,145150,Embraer,001JK,ERJ-145,
N634AR,003,Bombardier (de Havilland),L00I6,DHC-8,100
N634B,BC-19,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
N634BE,560-6034,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N634CZ,17000246,Embraer,001JK,E175,
N634GD,6134,Gulfstream,2AAX5,Gulfstream G650,
N634JB,2710,Airbus,FA849,A320,200
N634KA,129,Dassault,F6117,Falcon 50,
N634NK,6370,Airbus,FA849,A320,200
N634QS,560-5558,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N634QX,17000726,Embraer,001JK,E175,
N634RW,17000055,Embraer,001JK,E170,
N634ST,4697634,Piper,ZZZZZ,PA-46 Malibu,PA-46 M500
N634SW,27937,Boeing,81205,737 (CFMI),300
N634TT,BB-1252,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N634VA,3359,Airbus,FA849,A320,200
N63535,126,Viking Air,ZZZZZ,DHC-3,Otter
N63562,272,Viking Air,ZZZZZ,DHC-2,
N63593,BB-552,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N635AC,E2330,BAE Systems (Avro),K1987,RJ,85
N635AE,145158,Embraer,001JK,ERJ-145,
N635AR,047,Bombardier (de Havilland),L00I6,DHC-8,100
N635B,BC-49,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
N635CZ,17000252,Embraer,001JK,E175,
N635E,4355,Gulfstream,2AAX5,Gulfstream G450,
N635JB,2725,Airbus,FA849,A320,200
N635MA,402C-0634,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402C
N635NK,6383,Airbus,FA849,A320,200
N635QS,560-5358,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N635QX,17000731,Embraer,001JK,E175,
N635RJ,017,Bombardier (Learjet),L00I6,Learjet 35,
N635RW,17000056,Embraer,001JK,E170,
N635SF,2132,Gulfstream,2AAX5,Gulfstream G280,
N635SH,24370,Boeing,81205,757,200
N635TA,458SA,Mitsubishi,ZZZZZ,MU-2,B-40 (Solitaire)
N635VA,3398,Airbus,FA849,A320,200
N635XJ,5835,Bombardier (Canadair),L00I6,Challenger,605
N6363D,380,Viking Air,ZZZZZ,DHC-3,Otter
N6366S,FL-666,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N63693,31-7712025,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N636AE,145160,Embraer,001JK,ERJ-145,
N636B,BC-61,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air A200
N636BC,680-0239,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
N636CZ,17000253,Embraer,001JK,E175,
N636DS,525C-0127,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ4 (Cessna 525C),525C CJ4
N636EJ,560-5304,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N636GD,6366,Gulfstream,2AAX5,Gulfstream G650,
N636JB,2755,Airbus,FA849,A320,200
N636JM,62.088,Diamond,ZZZZZ,DA62,
N636JS,9325,Bombardier (Canadair),L00I6,Global 5000,
N636KT,451,Viking Air,ZZZZZ,DHC-3,Turbo Otter
N636MA,673,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 850
N636MF,5351,Gulfstream,2AAX5,Gulfstream G550,
N636MW,4697636,Piper,ZZZZZ,PA-46 Malibu,PA-46 M500
N636N,501-0069,Textron Aviation (Cessna),ZZZZZ,Citation I (Cessna 500),501 Citation I SP
N636NK,6424,Airbus,FA849,A320,200
N636PT,HA-0176,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 900
N636QS,680A-0182,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N636QX,17000749,Embraer,001JK,E175,
N636RW,17000052,Embraer,001JK,E170,
N636SD,50000117,Embraer,001JK,Phenom,100
N636SF,277,Gulfstream,2AAX5,Gulfstream G150,
N636VA,3460,Airbus,FA849,A320,200
N63703,31-7712032,Piper,ZZZZZ,PA-31 Navajo,PA-31-300
N63730,31-7752052,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N6375X,402B-1338,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402B
N637AE,145170,Embraer,001JK,ERJ-145,
N637AR,265,Bombardier (de Havilland),L00I6,DHC-8,100
N637AS,50000133,Embraer,001JK,Phenom,100
N637BE,46-8508018,Piper,ZZZZZ,PA-46 Malibu,PA-46-310P Malibu
N637CC,637,Bombardier (de Havilland),L00I6,DHC-8,200 (Q200)
N637CZ,17000256,Embraer,001JK,E175,
N637DT,421C-0508,Textron Aviation (Cessna),ZZZZZ,Cessna,421 (Piston)
N637JB,2781,Airbus,FA849,A320,200
N637NG,1637,Pilatus,ZZZZZ,PC-12,47
N637NK,6436,Airbus,FA849,A320,200
N637PC,627,Pilatus,ZZZZZ,PC-12,45
N637PH,637,Pilatus,ZZZZZ,PC-12,45
N637QS,680A-0184,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N637QX,17000755,Embraer,001JK,E175,
N637RW,17000051,Embraer,001JK,E170,
N637SF,248,Gulfstream,2AAX5,Gulfstream G150,
N637SV,680-0037,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
N637SW,27710,Boeing,81205,737 (CFMI),300
N637TF,5637,Bombardier (Canadair),L00I6,Challenger,604
N637VA,3465,Airbus,FA849,A320,200
N637WM,BB-1768,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N63820,43534,Boeing,81205,737 NG,900ER
N6384X,402B-1347,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402B
N6387X,402B-1350,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402B
N63890,42194,Boeing,81205,737 NG,900ER
N63899,62816,Boeing,81205,737 NG,900ER
N638AE,145172,Embraer,001JK,ERJ-145,
N638AH,510-0167,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N638AV,638,Pilatus,ZZZZZ,PC-12,45
N638CZ,17000259,Embraer,001JK,E175,
N638DB,4636248,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N638GB,421C-0638,Textron Aviation (Cessna),ZZZZZ,Cessna,421 (Piston)
N638HP,219,Bombardier (Learjet),L00I6,Learjet 31,A
N638JB,2802,Airbus,FA849,A320,200
N638NG,1638,Pilatus,ZZZZZ,PC-12,47
N638NK,6463,Airbus,FA849,A320,200
N638QS,560-5363,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N638QX,17000757,Embraer,001JK,E175,
N638RW,17000053,Embraer,001JK,E170,
N638VA,3503,Airbus,FA849,A320,200
N6396X,402B-1355,Textron Aviation (Cessna),ZZZZZ,Cessna 402,402B
N63978,U-171,Textron Aviation (Beechcraft),ZZZZZ,Beech 99,C99
N639AE,145182,Embraer,001JK,ERJ-145,
N639AS,50000044,Embraer,001JK,Phenom,100
N639AT,308,IAI,ZZZZZ,IAI 1123/1124 Westwind,1124A
N639CS,26073,Boeing,81205,737 (CFMI),400
N639CW,639,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 850
N639CZ,17000262,Embraer,001JK,E175,
N639JB,2814,Airbus,FA849,A320,200
N639M,733,Dassault,F6117,Falcon 2000, S
N639NK,6487,Airbus,FA849,A320,200
N639QS,680A-0193,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N639QX,17000760,Embraer,001JK,E175,
N639RA,RC-22,Textron Aviation (Hawker),ZZZZZ,Hawker 4000,
N639RW,17000057,Embraer,001JK,E170,
N639SC,421A-0102,Textron Aviation (Cessna),ZZZZZ,Cessna,421 (Piston)
N639SF,297,Gulfstream,2AAX5,Gulfstream G150,
N639TC,525A-0484,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ2 (Cessna 525A),525A CJ2+
N639TS,5139,Bombardier (Canadair),L00I6,Challenger,601-3
N639VA,3016,Airbus,FA849,A320,200
N63AD,000163,Eclipse,ZZZZZ,Eclipse,500
N63AR,432,Viking Air,ZZZZZ,DHC-6,300
N63CJ,525B-0064,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N63CM,31T-8020039,Piper,ZZZZZ,PA-31T,Cheyenne II
N63CX,414-0388,Textron Aviation (Cessna),ZZZZZ,Cessna,414
N63DB,414A-1211,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N63DL,409,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 850
N63DR,100-0045,Quest,ZZZZZ,Kodiak 100,
N63DU,11601,Rockwell,ZZZZZ,Turbo Commander,690C
N63DZ,45-276,Bombardier (Learjet),L00I6,Learjet 45,
N63FB,BY-308,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air 250
N63FF,560-0063,Textron Aviation (Cessna),ZZZZZ,Citation V (Cessna 560),560 Citation V
N63FT,560-5541,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N63GH,42.N182,Diamond,ZZZZZ,DA42,NG
N63HC,100-0063,Quest,ZZZZZ,Kodiak 100,
N63HP,4636456,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N63HS,5013,Gulfstream,2AAX5,Gulfstream G550,
N63JG,560-0189,Textron Aviation (Cessna),ZZZZZ,Citation V (Cessna 560),560 Citation V
N63JP,EX249,Dassault,F6117,Falcon 900,LX
N63JT,S550-0156,Textron Aviation (Cessna),ZZZZZ,Citation S/II (Cessna S550),S550 Citation S/II
N63KK,9720,Bombardier (Canadair),L00I6,Global Express / Global 6000,
N63LB,BB-1894,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N63MR,0022,Cirrus,ZZZZZ,SF50 Vision,
N63NE,AC-763B,Fairchild (Swearingen),ZZZZZ,Merlin IV/Metro,SA227 AC
N63NG,1363,Pilatus,ZZZZZ,PC-12,47
N63NM,1066,Gulfstream,2AAX5,Gulfstream IV,
N63NX,1463,Pilatus,ZZZZZ,PC-12,47
N63PW,4608077,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N63RS,S550-0046,Textron Aviation (Cessna),ZZZZZ,Citation S/II (Cessna S550),S550 Citation S/II
N63SE,4697333,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N63TK,550-0803,Textron Aviation (Cessna),ZZZZZ,Citation Bravo (Cessna 550),550 Citation Bravo
N63TM,680-0019,Textron Aviation (Cessna),ZZZZZ,Citation Sovereign (Cessna 680),680 Citation Sovereign
N63TP,128,Daher,ZZZZZ,TBM 700 / 850 / 900,TBM 700
N63TR,525-0956,Textron Aviation (Cessna),ZZZZZ,Citation M2,
N63TT,31-8152026,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N63UC,136,Gulfstream,2AAX5,Gulfstream G100 / IAI 1125 Astra,Astra SPX
N63VA,850,Viking Air,ZZZZZ,DHC-2,Turbo Beaver
N63WD,131,Gulfstream,2AAX5,Gulfstream G100 / IAI 1125 Astra,Astra SPX
N63WG,45-486,Bombardier (Learjet),L00I6,Learjet 75,
N63WJ,45-278,Bombardier (Learjet),L00I6,Learjet 45,
N63WR,20718,Bombardier (Canadair),L00I6,Challenger,350
N63XG,258737,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 800
N63XP,RK-563,Textron Aviation (Hawker),ZZZZZ,Hawker 400 / Beechjet 400,Hawker 400XP
N63YA,525-0830,Textron Aviation (Cessna),ZZZZZ,Citation M2,
N640A,24598,Boeing,81205,757,200
N640AE,145183,Embraer,001JK,ERJ-145,
N640AX,UC-1,Textron Aviation (Beechcraft),ZZZZZ,Beech 1900,C-1
N640BD,4622095,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N640CS,26078,Boeing,81205,737 (CFMI),400
N640DF,LJ-1312,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N640GT,25221,Boeing,81205,767,300ER
N640JB,2832,Airbus,FA849,A320,200
N640KC,1076,Pilatus,ZZZZZ,PC-12,47
N640MY,640,Pilatus,ZZZZZ,PC-12,45
N640NK,6507,Airbus,FA849,A320,200
N640RJ,LJ-1106,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90A
N640RW,17000058,Embraer,001JK,E170,
N640SH,42.MN037,Diamond,ZZZZZ,DA42,NG
N640SW,27713,Boeing,81205,737 (CFMI),300
N640VA,3349,Airbus,FA849,A320,200
N640WA,31-8252065,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N640Y,550-0590,Textron Aviation (Cessna),ZZZZZ,Citation II (Cessna 550),550 Citation II
N6410M,FL-710,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N6414P,525B-0004,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ3 (Cessna 525B),525B CJ3
N64150,150,Viking Air,ZZZZZ,DHC-6,200
N641AE,145191,Embraer,001JK,ERJ-145,
N641AT,767,Pilatus,ZZZZZ,PC-12,47
N641BC,069,Saab,ZZZZZ,Saab 340,A
N641CA,10122,Bombardier (Canadair),L00I6,CRJ700,CRJ701
N641CP,414A-0854,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N641D,4636035,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N641DJ,RC-33,Textron Aviation (Hawker),ZZZZZ,Hawker 4000,
N641GT,25132,Boeing,81205,767,300ER
N641JB,2848,Airbus,FA849,A320,200
N641KC,1141,Pilatus,ZZZZZ,PC-12,47
N641MC,FL-495,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N641MS,650-0056,Textron Aviation (Cessna),ZZZZZ,Citation III (Cessna 650),650 Citation III
N641NK,6566,Airbus,FA849,A320,200
N641QS,560-5295,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N641QX,17000761,Embraer,001JK,E175,
N641RP,258858,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,Hawker 850
N641RW,17000062,Embraer,001JK,E170,
N641TS,BB-641,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N641TX,560-5641,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N641UA,25091,Boeing,81205,767,300ER
N641VA,3656,Airbus,FA849,A320,200
N642AE,145193,Embraer,001JK,ERJ-145,
N642AN,3611,Bombardier (Shorts),K4585,Short 360 (SD3-60),100
N642CA,10125,Bombardier (Canadair),L00I6,CRJ700,CRJ701
N642DM,20199,Bombardier (Canadair),L00I6,Challenger,300
N642E,FA-54,Textron Aviation (Beechcraft),ZZZZZ,King Air 300,
N642FE,48485,Boeing (McDonnell-Douglas),88277,MD-11,F
N642GT,26207,Boeing,81205,767,300ERF
N642M,1917,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
N642NK,6586,Airbus,FA849,A320,200
N642P,31-761,Piper,ZZZZZ,PA-31 Navajo,PA-31-310
N642PC,642,Pilatus,ZZZZZ,PC-12,45
N642QS,560-5561,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N642QX,17000762,Embraer,001JK,E175,
N642RW,17000063,Embraer,001JK,E170,
N642SF,218,Pilatus,ZZZZZ,PC-12,45
N642TD,LJ-766,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90
N642UA,25092,Boeing,81205,767,300ER
N642VA,3670,Airbus,FA849,A320,200
N642WA,31-7952084,Piper,ZZZZZ,PA-31 Navajo,PA-31-350 Chieftain
N642WW,525A-0418,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ2 (Cessna 525A),525A CJ2+
N6431S,FL-717,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N64384,622,Viking Air,ZZZZZ,DHC-2,
N64389,1637,Viking Air,ZZZZZ,DHC-2,
N64393,845,Viking Air,ZZZZZ,DHC-2,
N64397,760,Viking Air,ZZZZZ,DHC-2,
N643AE,145200,Embraer,001JK,ERJ-145,
N643AN,5723,Bombardier (Canadair),L00I6,Challenger,605
N643CR,1055,Bombardier (Canadair),L00I6,Challenger,600
N643EA,LJ-1643,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90B
N643FE,48486,Boeing (McDonnell-Douglas),88277,MD-11,F
N643GT,37809,Boeing,81205,767,300ERF
N643JB,2871,Airbus,FA849,A320,200
N643M,1939,Bombardier (Shorts),K4585,SC.7 Skyvan,3
N643NK,6616,Airbus,FA849,A320,200
N643PC,643,Pilatus,ZZZZZ,PC-12,45
N643QS,560-5588,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N643QX,17000763,Embraer,001JK,E175,
N643RT,560-0019,Textron Aviation (Cessna),ZZZZZ,Citation V (Cessna 560),560 Citation V
N643RW,17000060,Embraer,001JK,E170,
N643SW,27716,Boeing,81205,737 (CFMI),300
N643UA,25093,Boeing,81205,767,300ER
N643WM,414A-1205,Textron Aviation (Cessna),ZZZZZ,Cessna,414A
N6449B,LJ-1949,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90GTi
N644AE,145204,Embraer,001JK,ERJ-145,
N644AS,30795,Boeing,81205,737 NG,700
N644EM,758SA,Mitsubishi,ZZZZZ,MU-2,B-60 (Marquise)
N644GT,37810,Boeing,81205,767,300ERF
N644JB,2880,Airbus,FA849,A320,200
N644JC,LJ-698,Textron Aviation (Beechcraft),ZZZZZ,King Air 90,King Air C90
N644JP,RJ-7,Textron Aviation (Hawker),ZZZZZ,Hawker 400 / Beechjet 400,Beechjet 400
N644M,1912,Bombardier (Shorts),K4585,SC.7 Skyvan,3M
N644MM,4697524,Piper,ZZZZZ,PA-46 Malibu,PA-46-500TP Malibu Meridian
N644NK,7156,Airbus,FA849,A320,200
N644QS,560-5582,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N644QX,17000767,Embraer,001JK,E175,
N644RM,50000061,Embraer,001JK,Phenom,100
N644RV,22,Dassault,F6117,Falcon 2000,
N644RW,17000061,Embraer,001JK,E170,
N644SC,31P-13,Piper,ZZZZZ,PA-31 Navajo,PA-31P
N644SD,644,Pilatus,ZZZZZ,PC-12,45
N644SW,28329,Boeing,81205,737 (CFMI),300
N644UA,25094,Boeing,81205,767,300ER
N6450L,FL-720,Textron Aviation (Beechcraft),ZZZZZ,King Air 350,
N6451D,BB-1009,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N6453,6078,Gulfstream,2AAX5,Gulfstream G650,
N6458,574,Gulfstream,2AAX5,Gulfstream V,
N645AE,145212,Embraer,001JK,ERJ-145,
N645AG,4636699,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N645AS,50000114,Embraer,001JK,Phenom,100
N645AT,208B-5009,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N645B,50500238,Embraer,001JK,Phenom,300
N645DC,EX47,Dassault,F6117,Falcon 2000, EX EASy
N645FD,45-227,Bombardier (Learjet),L00I6,Learjet 45,
N645G,056,Bombardier (Learjet),L00I6,Learjet 35,
N645GT,27393,Boeing,81205,767,300ER
N645HA,129,Bombardier (Learjet),L00I6,Learjet 31,A
N645HM,3013,328 Support Services,ZZZZZ,Dornier 328,328 100
N645JB,2900,Airbus,FA849,A320,200
N645MA,4698079,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N645MS,258044,Textron Aviation (Hawker),ZZZZZ,HS125/Hawker,BAe 125 800
N645NK,7008,Airbus,FA849,A320,200
N645PC,645,Pilatus,ZZZZZ,PC-12,45
N645PE,1645,Pilatus,ZZZZZ,PC-12,47
N645PM,105,Gulfstream,2AAX5,Gulfstream G200 / IAI Galaxy,Gulfstream G200 (IAI Galaxy)
N645QS,680A-0194,Textron Aviation (Cessna),ZZZZZ,Citation Latitude (Cessna 680A),680A Citation Latitude
N645QX,17000768,Embraer,001JK,E175,
N645RW,17000064,Embraer,001JK,E170,
N645WC,414-0645,Textron Aviation (Cessna),ZZZZZ,Cessna,414
N6462L,31-419,Piper,ZZZZZ,PA-31 Navajo,PA-31-310
N6462M,000200,Eclipse,ZZZZZ,Eclipse,500
N646AA,24604,Boeing,81205,757,200
N646AE,145213,Embraer,001JK,ERJ-145,
N646AS,50000149,Embraer,001JK,Phenom,100
N646AT,208B-5087,Textron Aviation (Cessna),ZZZZZ,Cessna 208 Caravan,208B Grand Caravan
N646CA,4622196,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N646CC,646,Bombardier (de Havilland),L00I6,DHC-8,200 (Q200)
N646CS,25192,Boeing,81205,737 (CFMI),500
N646DR,BB-646,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,
N646HC,4636433,Piper,ZZZZZ,PA-46 Malibu,PA-46 Jetprop DLX
N646JB,2945,Airbus,FA849,A320,200
N646NK,7062,Airbus,FA849,A320,200
N646QS,560-5246,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N646QX,17000769,Embraer,001JK,E175,
N646RH,560-6046,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N646RW,17000066,Embraer,001JK,E170,
N646SC,31P-33,Piper,ZZZZZ,PA-31 Navajo,PA-31P
N646UA,25283,Boeing,81205,767,300ER
N646VN,646,BAE Systems (Jetstream),K1987,Jetstream 31,
N646VP,525-0646,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CJ1+
N646WT,000225,Eclipse,ZZZZZ,Eclipse,500
N6475L,31-436,Piper,ZZZZZ,PA-31 Navajo,PA-31-310
N647AE,145222,Embraer,001JK,ERJ-145,
N647AS,50000067,Embraer,001JK,Phenom,100
N647AV,3647,Airbus,FA849,A319,100
N647AW,0762,Airbus,FA849,A320,200
N647GT,27611,Boeing,81205,767,300ERF
N647MK,560-5188,Textron Aviation (Cessna),ZZZZZ,Citation Excel (Cessna 560XL),560XL Citation Excel
N647MP,153,Bombardier (Learjet),L00I6,Learjet 35,A
N647NK,7635,Airbus,FA849,A320,200
N647QS,560-5547,Textron Aviation (Cessna),ZZZZZ,Citation XLS (Cessna 560XLS),560XLS Citation Excel S
N647QX,17000773,Embraer,001JK,E175,
N647RW,17000067,Embraer,001JK,E170,
N647SC,31P-7300129,Piper,ZZZZZ,PA-31 Navajo,PA-31P
N647SJ,4636581,Piper,ZZZZZ,PA-46 Malibu,PA-46-350P Malibu
N647ST,4698047,Piper,ZZZZZ,PA-46 Malibu,PA-46 M600
N647SW,27717,Boeing,81205,737 (CFMI),300
N647UA,25284,Boeing,81205,767,300ER
N64809,42821,Boeing,81205,737 NG,900ER
N64844,42184,Boeing,81205,737 NG,900ER
N6485L,31-449,Piper,ZZZZZ,PA-31 Navajo,PA-31-310
N648AE,145225,Embraer,001JK,ERJ-145,
N648BC,19000022,Embraer,001JK,E190,
N648DD,BB-1683,Textron Aviation (Beechcraft),ZZZZZ,King Air 200,King Air B200
N648DX,50000176,Embraer,001JK,Phenom,100
N648HE,525-0219,Textron Aviation (Cessna),ZZZZZ,CitationJet CJ1 (Cessna 525),525 CitationJet
N648JB,2970,Airbus,FA849,A320,200
N648JW,510-0073,Textron Aviation (Cessna),ZZZZZ,Citation Mustang (Cessna 510),510 Citation Mustang
N648KM,42.316,Diamond,ZZZZZ,DA42,
